thread_queue_rank,thread_score,staging_label,recommended_action,coder_packet_hint,run_id,run_in_selected_freeze,channel_niche,channel_id,video_id,video_url,title,published_at,comment_db_id,comment_rank,like_count,reply_count,annotation_count,coder_count,has_disagreement,rule_skepticism,rule_proof_demand,comment_ai_signal,video_ai_signal,historical_skeptic_channel,channel_resolved_n,channel_skepticism_rate,channel_skeptic_or_proof_rate,heuristic_language,low_info_noise,selection_reasons,cleaned_text
11,7.4937159627333445,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Tech,UCfzlCWGWYyIQ0aLC5w48gBQ,Ah0-l0HZwLA,https://www.youtube.com/watch?v=Ah0-l0HZwLA,Unitree G1 Security Disaster,2025-09-30T20:50:15Z,12670,1,47,3,0,0,0,1,0,0,1,0,3,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; higher engagement,"Now you can see why my comment a few weeks back about you interacting with this robot with those swords in your back was not so much of a joke. You are an early adopter of extremely capable, on-the-air receiving commands/updates, made-in-china tech being put in production as soon as possible due to internal competition there. A lot can go wrong. Be extremely cautious, Harrison. We cannot afford to lose you!"
12,7.443247604634006,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,8mXYc_XMLgE,https://www.youtube.com/watch?v=8mXYc_XMLgE,When Police Are Shocked by Suspect’s Identity,2026-02-27T16:23:00Z,13748,1,17,2,0,0,0,1,0,0,0,1,23,0.21739130434782608,0.21739130434782608,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; historically skepticism-rich channel; higher engagement,Finally real content instead of brainrot fake ghost stories
13,7.361444487020676,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Tech,UCiT9RITQ9PW6BhXK0y2jaeg,3CRBW-0PuqA,https://www.youtube.com/watch?v=3CRBW-0PuqA,"I Became ""Radicalized"" About AI",2026-01-05T13:00:13Z,12328,3,12,1,0,0,0,1,0,1,1,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment; higher engagement,"""So what if there's a bubble?"" is like ""so what if millions of people around the world can't prepare for when it bursts because they're not in the same privileged situation as I am""... I get what you're saying, the tech is awesome, but it's definitely overpromising and underdelivering. It is likely that we'll get a lot of great things coming from the AI tech era and some of the big promises will come to fruition, but that still doesn't mean you can just ignore today's big scam. Two things can be true. Maybe you're ""radicalized"" precisely because you have friends in all of those privileged positions. Good for you, man."
14,7.341881327606965,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCp48vy_SNmQ0rrqfArxnRLw,H05Y-UJded0,https://www.youtube.com/watch?v=H05Y-UJded0,How to 10x Cursor with Task Master AI,2025-04-11T16:14:32Z,5187,3,7,2,0,0,0,1,0,1,1,0,3,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment,"After watching the video, I am not really sure what the point of this is. I can just write down a plan or use chatgpt for free to make a plan on what to do. Why do want to use this and have to pay more money for an API key? Also, I just constantly get issues with the API key...."
15,7.32864895396224,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCNU_lfiiWBdtULKOw6X0Dig,J0VkYgzAv9E,https://www.youtube.com/watch?v=J0VkYgzAv9E,What  are we Going To Learn In 2026,2025-12-31T06:34:41Z,3786,3,9,1,0,0,0,1,0,1,1,0,3,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment,"Over the past year, I have been learning AI and GenAI concepts under the guidance of Krish Naik. During this time, I have experienced exponential growth in my career. Earlier, I was working as a full-stack developer with a focus on UX design. Today, I am working as a full-time GenAI Engineer. This transformation wouldn’t have been possible without the guidance and knowledge shared by Krish Naik, Sunny Savita, and Mayank Agrawal. The knowledge and direction are already available within the Krish Naik community. What truly matters is understanding those concepts deeply, applying them consistently, and trusting the process. If you do that sincerely, the results will come."
16,7.321391122053412,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,lqAHw6TwLsk,https://www.youtube.com/watch?v=lqAHw6TwLsk,10 Perplexity Comet Agents to Automate Your Work (AI Browser),2025-10-03T15:01:27Z,6370,1,20,1,1,1,0,1,0,0,1,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; higher engagement,"The capabilities of Comet Agents truly show us the future. The sheer power of task automation is incredible! However, it seems the trade-off for this convenience is the necessity for extra security steps, like creating a dedicated account and adjusting settings. That 'fuss' is still a barrier. I believe wider adoption will follow once this friction is removed.😊"
17,7.297638972994113,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,opghSX24clM,https://www.youtube.com/watch?v=opghSX24clM,This Broke My Brain - These Humans Aren’t Real,2026-01-29T10:29:06Z,15077,11,9,3,0,0,0,1,0,1,1,1,20,0.35,0.35,english_or_other_latin,0,skepticism lexical cue; AI mention in comment; historically skepticism-rich channel; higher engagement,"I've spent some time with gaussian splatting. There are a few examples on my channel. I've come to the conclusion that it's not a great long-term solution despite the realtime rendering speed. The inability to edit or animate splats makes them useless for anything but static environments. Plus, it can take many hours (20 hours for the sewer scene on my channel) running a high-end GPU to produce a big splat. Further, that completed splat has no capacity for physics, which is quickly becoming the foremost consideration for machine generated assets. Without embedded data for physics you can't use splats for anything but background scenery. After a lot of debating the matter (including some long discussions with Gemini) I came to the conclusion that meshes are a substantially better system overall. I am interested in radiant foam though..."
18,7.247030684968784,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,I5y6hYfVY5o,https://www.youtube.com/watch?v=I5y6hYfVY5o,I Built an AI App to Make Manga (From Zero Art Skills),2026-02-04T14:40:00Z,4613,9,21,0,0,0,0,1,0,1,1,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,skepticism lexical cue; AI mention in comment; historically skepticism-rich channel,"I used tonlike your content, I know I can't get tid of ai if I'm a developer but I draw my line when it comes to steal art in order to build this. I agree with the general consent, as a project cool, but still ai slop"
19,7.214112612477971,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,UO791ooS3D0,https://www.youtube.com/watch?v=UO791ooS3D0,3 Books for 2026,2026-01-11T15:00:49Z,4674,1,3,1,0,0,0,1,0,0,0,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; historically skepticism-rich channel,Where is The caption?
20,7.103889146930909,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,1uCE0uoKXL8,https://www.youtube.com/watch?v=1uCE0uoKXL8,Open Source AI In 17 Minutes,2026-02-12T13:30:02Z,4568,8,6,0,0,0,0,1,0,1,1,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,skepticism lexical cue; AI mention in comment; historically skepticism-rich channel,"I don't how anyone can even afford to learn about AI workflows without utilizing open source models. I have my own N8N server calling open source models on my inference machine, and an rpi web server that can call my open source AI from a web domain. It's amazing how capable open source models are. They coded me some great classic games in JavaScript, and even told me exactly how to host them on my own web domain. I have NEVER paid for AI API calls."
21,6.947293775868988,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,1uCE0uoKXL8,https://www.youtube.com/watch?v=1uCE0uoKXL8,Open Source AI In 17 Minutes,2026-02-12T13:30:02Z,4575,15,1,0,0,0,0,1,0,1,1,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,skepticism lexical cue; AI mention in comment; historically skepticism-rich channel,Another fake AI guru grifting on some basic N8N course...
22,6.859622684955257,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,oO9GLC2iKy8,https://www.youtube.com/watch?v=oO9GLC2iKy8,"The Productivity System I Taught to 6,642 Googlers",2025-10-21T13:01:38Z,4976,2,296,5,0,0,0,1,0,0,1,0,26,0.038461538461538464,0.038461538461538464,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; higher engagement,"My personal productivity system is: (1) Capture, (2) Never look at my notes again"
23,6.8,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,27,0,Tech,@WesRoth,@WesRoth_video_1,https://youtube.com/watch?v=@WesRoth_video_1,Mock video 1,2026-04-02T13:39:54.828101+00:00,33430,3,997,5,1,1,0,0,1,1,0,0,0,0.0,0.0,english_or_other_latin,0,proof-demand lexical cue; top-ranked comment; AI mention in comment; higher engagement,"This was probably made with AI around the hand movement, but can you show BTS footage before people argue about moment 6."
24,6.786795525361396,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,oO9GLC2iKy8,https://www.youtube.com/watch?v=oO9GLC2iKy8,"The Productivity System I Taught to 6,642 Googlers",2025-10-21T13:01:38Z,4977,3,189,4,0,0,0,1,0,0,1,0,26,0.038461538461538464,0.038461538461538464,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; higher engagement,"I have my own System, called COPE. Capture, Organize, Play video games, Experience dissatisfaction"
25,6.763752500971499,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,18,1,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,XyFWTqWbD9s,https://www.youtube.com/watch?v=XyFWTqWbD9s,The SCARIEST Real Videos on the INTERNET,2026-01-25T14:02:00Z,17534,3,70,4,0,0,0,1,0,0,0,1,23,0.21739130434782608,0.21739130434782608,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; historically skepticism-rich channel; higher engagement,Gotta love when real is fake ngl
26,6.732199623089312,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,mb9ntdsYOdc,https://www.youtube.com/watch?v=mb9ntdsYOdc,Real Videos the Internet Tried to Bury,2026-02-15T15:40:55Z,13770,3,25,13,0,0,0,1,0,0,0,1,23,0.21739130434782608,0.21739130434782608,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; historically skepticism-rich channel; higher engagement,2nd vd is fake
27,6.71865316948265,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Beauty,UCtaVEzJD90lyxwumMzwOQzQ,KDmMOXBQp1w,https://www.youtube.com/watch?v=KDmMOXBQp1w,2025 was... interesting,2025-11-30T17:00:38Z,7934,2,213,5,0,0,0,1,0,1,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in comment; higher engagement,"Rage bait I swear used to be just a social media comments and video games thing. It’s actually annoying me. I stopped buying from Elf since the Matt Rife ad, and they doubled down on why they did it. Which is so upsetting because they were the makeup brand I started with in high school. And we already have a problem with AI and now fake stories too?! Dude I might quit social media next year."
28,6.7,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,20,1,Beauty,UCzTKskwIc_-a0cGvCXA848Q,u1u7nogFwFg,https://www.youtube.com/watch?v=u1u7nogFwFg,Contour based on SCIENCE?! 🧪,2023-10-22T15:29:27Z,20315,1,39034,34,1,1,0,1,0,0,0,0,20,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; higher engagement,Having such a well calculated formula for applying makeup is great I'd love to see a full look based on this concept
29,6.7,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,t3jZ2xGOvYg,https://www.youtube.com/watch?v=t3jZ2xGOvYg,The ladybug clock puzzle,2026-01-16T14:16:12Z,3221,1,3247,5,0,0,0,1,0,0,0,0,20,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; higher engagement,"I have tried it, but the ladybug just leaves flying"
30,6.602863113645295,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,3KRoJHT8zF8,https://www.youtube.com/watch?v=3KRoJHT8zF8,The Internet’s Darkest Real Footage,2026-02-08T14:05:00Z,13790,3,28,2,0,0,0,1,0,0,0,1,23,0.21739130434782608,0.21739130434782608,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; historically skepticism-rich channel; higher engagement,The scarf one clearly fake
31,6.5982389835419735,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,4NlrfOl0l8U,https://www.youtube.com/watch?v=4NlrfOl0l8U,The AI that solved IMO Geometry Problems | Guest video by @Aleph0,2025-08-17T13:02:50Z,3428,8,243,11,0,0,0,1,0,1,1,0,20,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; AI mention in comment; higher engagement,"My biggest takeaway from this is that there was an algorithmic way to do this that was better than most humans and 75% as good as a generative AI (with underlying algorithmic heuristics). This underlines a serious issue with the way many organizations think about AI: many are oblivious to the fact there may exist a purely algorithmic way to solve their problems for a fraction of the cost of an LLM. So while the headline from the scientific press is “AI solves 25 / 30 IMO problems”, the real headline should be “AI improves existing IMO problem solver by 33%”."
32,6.549742916392587,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,20,1,Beauty,UCtaVEzJD90lyxwumMzwOQzQ,_kIcLGdyOk4,https://www.youtube.com/watch?v=_kIcLGdyOk4,Youthforia CLOSES DOWN,2025-08-04T15:35:09Z,20888,1,208,2,1,1,0,1,0,0,0,0,0,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; higher engagement,"So I'm not surprised. What kind of surprised me is that they didn't even try to come back. Like they made one apology statement and disappeared from everything. They made it so the last thing we heard from the brand was its black face foundation. I'm not saying they should have come back from that, but brands have come back from worse by continuing business as normal and succeeding by having customers not on social media. But I guess because they were a smaller brand they didn't have the capital to move forward."
33,6.500000000000001,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,fFL7la73RO4,https://www.youtube.com/watch?v=fFL7la73RO4,New DeepSeek Research - The Future Is Here!,2026-02-04T13:29:19Z,15027,1,1473,91,0,0,0,0,0,1,1,1,20,0.35,0.35,english_or_other_latin,0,top-ranked comment; AI mention in comment; historically skepticism-rich channel; higher engagement,"Let's not let AI turn into a repeat of the late Web 2.0 era, where a few mega-corps cornered the market, forced everyone into subscriptions, and basically laughed at the idea of user choice. The fact that DeepSeek and similar labs are open-sourcing their top models and research is huge. This is what might actually stop the Metas and Googles of the world from building walled gardens and locking down the market for their own profit"
34,6.500000000000001,Exploratory candidate for validation - not paper-safe by default,validate_and_adjudicate_before_future_freeze_inclusion,Outside selected freeze runs: human coding and adjudication required before any paper-facing use.,17,0,Tech,UCbfYPyITQ-7l4upoX8nvctg,eGpIXJ0C4ds,https://www.youtube.com/watch?v=eGpIXJ0C4ds,Anthropic Found Out Why AIs Go Insane,2026-02-12T13:17:59Z,12533,1,1264,38,0,0,0,0,0,1,1,1,20,0.35,0.35,english_or_other_latin,0,top-ranked comment; AI mention in comment; historically skepticism-rich channel; higher engagement,"There's a huge irony that a century of sci-fi authors writing cautionary tales about deviant AI resulted in their books being used as training data, thus spawning those exact AI personalities."
35,6.500000000000001,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,RaNay3x0Fmk,https://www.youtube.com/watch?v=RaNay3x0Fmk,NVIDIA’s New AI: Erasing Reality,2026-02-06T14:05:24Z,15007,1,300,16,0,0,0,0,0,1,1,1,20,0.35,0.35,english_or_other_latin,0,top-ranked comment; AI mention in comment; historically skepticism-rich channel; higher engagement,"Computer, install this AI model to my glasses and set it to remove adverts."
36,6.436483189520286,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,j5h9dBtWZXM,https://www.youtube.com/watch?v=j5h9dBtWZXM,How AI connects text and images,2025-08-21T18:24:11Z,3403,3,44,0,0,0,0,1,0,0,1,0,20,0.0,0.0,english_or_other_latin,0,skepticism lexical cue; top-ranked comment; AI mention in video metadata; higher engagement,"Using I 'cap' for the vector of you wearing a cap, I see what you did there!"
37,6.425174816097331,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,jm2jBW462bU,https://www.youtube.com/watch?v=jm2jBW462bU,Essential AI Skills For 2026,2025-12-28T18:01:10Z,4736,1,135,11,0,0,0,0,0,1,1,1,12,0.16666666666666666,0.16666666666666666,english_or_other_latin,0,top-ranked comment; AI mention in comment; historically skepticism-rich channel; higher engagement,"I actually reverse engineer prompt engineering by telling my AI to come up with a 10/10 prompt that does xyz, n then I paste the answer back to the chat"
38,6.41940599189912,Exploratory candidate for validation - not paper-safe by default,code_or_adjudicate_existing_video_then_refresh_freeze,Unresolved item from freeze-scoped run: human coding/adjudication required before freeze refresh.,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,opghSX24clM,https://www.youtube.com/watch?v=opghSX24clM,This Broke My Brain - These Humans Aren’t Real,2026-01-29T10:29:06Z,15072,6,45,1,0,0,0,1,0,0,1,1,20,0.35,0.35,english_or_other_latin,0,skepticism lexical cue; AI mention in video metadata; historically skepticism-rich channel; higher engagement,"Very cool, Dr. K! Looking forward to the day where Gaussian Splatting is efficient enough w.r.t. capture, data size and performance costs to replace polygons in large scale interactive media like videogames. Thanks for all your efforts in creating the stories that bring these papers to all of your 'fellow scholars' like me. 🙂"
