video_queue_rank,video_score,staging_label,recommended_action,run_id,run_in_selected_freeze,channel_niche,channel_id,video_id,video_url,title,published_at,candidate_threads,skeptical_or_proof_threads,top_comment_skeptical_or_proof,max_thread_score,mean_thread_score,high_engagement_threads,disagreement_threads,video_ai_signal,historical_skeptic_channel
11,9.347862370549771,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,mb9ntdsYOdc,https://www.youtube.com/watch?v=mb9ntdsYOdc,Real Videos the Internet Tried to Bury,2026-02-15T15:40:55Z,4,4,0,6.732199623089312,5.5414505175633835,2,0,0,1
12,9.319551894391369,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,1uCE0uoKXL8,https://www.youtube.com/watch?v=1uCE0uoKXL8,Open Source AI In 17 Minutes,2026-02-12T13:30:02Z,4,2,0,7.103889146930909,5.862254079782432,2,0,1,1
13,9.165662747460459,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,27,0,Tech,@WesRoth,@WesRoth_video_1,https://youtube.com/watch?v=@WesRoth_video_1,Mock video 1,2026-04-02T13:39:54.828101+00:00,4,4,0,6.8,5.45,4,0,0,0
14,9.02941524843196,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,XyFWTqWbD9s,https://www.youtube.com/watch?v=XyFWTqWbD9s,The SCARIEST Real Videos on the INTERNET,2026-01-25T14:02:00Z,4,3,0,6.763752500971499,5.3917229595070575,4,0,0,1
15,9.013182084204956,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,23,1,Tech,UCHLGD4A8GjwGlbxtgo8cvWw,gtlRgIq-KtI,https://www.youtube.com/watch?v=gtlRgIq-KtI,"""The Future Is Thinking: How AI Is Transforming The World — From Creativity to Cash Flow""",2025-11-13T00:27:50Z,1,1,1,7.947293775868989,7.947293775868989,0,0,1,0
16,9.001048700807832,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCp48vy_SNmQ0rrqfArxnRLw,H05Y-UJded0,https://www.youtube.com/watch?v=H05Y-UJded0,How to 10x Cursor with Task Master AI,2025-04-11T16:14:32Z,2,2,0,7.341881327606965,6.061916231251976,0,0,1,0
17,8.932180446926873,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCSxPE9PHHxQUEt6ajGmQyMA,bzWI3Dil9Ig,https://www.youtube.com/watch?v=bzWI3Dil9Ig,My Multi-Agent Team with OpenClaw,2026-02-16T13:01:07Z,1,1,0,7.866292138590906,7.866292138590906,1,0,1,0
18,8.926538686634963,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,23,1,Tech,UCHLGD4A8GjwGlbxtgo8cvWw,Pw5M2_oTVV8,https://www.youtube.com/watch?v=Pw5M2_oTVV8,Kling AI Create Mind Blowing Videos in Minute,2025-10-15T23:10:52Z,1,1,1,7.860650378298996,7.860650378298996,0,0,1,0
19,8.825055681536835,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,RaNay3x0Fmk,https://www.youtube.com/watch?v=RaNay3x0Fmk,NVIDIA’s New AI: Erasing Reality,2026-02-06T14:05:24Z,5,2,0,6.500000000000001,5.481189389145486,3,0,1,1
20,8.80619805816965,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,I5y6hYfVY5o,https://www.youtube.com/watch?v=I5y6hYfVY5o,I Built an AI App to Make Manga (From Zero Art Skills),2026-02-04T14:40:00Z,2,1,0,7.247030684968784,6.74305491720665,1,0,1,1
21,8.559604271069313,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCfzlCWGWYyIQ0aLC5w48gBQ,Ah0-l0HZwLA,https://www.youtube.com/watch?v=Ah0-l0HZwLA,Unitree G1 Security Disaster,2025-09-30T20:50:15Z,1,1,1,7.4937159627333445,7.4937159627333445,1,0,1,0
22,8.477526230496231,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,U3o5cgG105E,https://www.youtube.com/watch?v=U3o5cgG105E,AI Video Just Went TOO FAR... NOT OK!,2026-02-13T02:25:40Z,4,3,0,6.16186348303577,5.253599060134988,2,0,1,0
23,8.459135912969973,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,8mXYc_XMLgE,https://www.youtube.com/watch?v=8mXYc_XMLgE,When Police Are Shocked by Suspect’s Identity,2026-02-27T16:23:00Z,1,1,1,7.443247604634006,7.443247604634006,1,0,0,1
24,8.427332795356644,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCiT9RITQ9PW6BhXK0y2jaeg,3CRBW-0PuqA,https://www.youtube.com/watch?v=3CRBW-0PuqA,"I Became ""Radicalized"" About AI",2026-01-05T13:00:13Z,1,1,0,7.361444487020676,7.361444487020676,1,0,1,0
25,8.394537262298208,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCNU_lfiiWBdtULKOw6X0Dig,J0VkYgzAv9E,https://www.youtube.com/watch?v=J0VkYgzAv9E,What  are we Going To Learn In 2026,2025-12-31T06:34:41Z,1,1,0,7.32864895396224,7.32864895396224,0,0,1,0
26,8.38727943038938,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,lqAHw6TwLsk,https://www.youtube.com/watch?v=lqAHw6TwLsk,10 Perplexity Comet Agents to Automate Your Work (AI Browser),2025-10-03T15:01:27Z,1,1,1,7.321391122053412,7.321391122053412,1,0,1,0
27,8.230000920813938,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,UO791ooS3D0,https://www.youtube.com/watch?v=UO791ooS3D0,3 Books for 2026,2026-01-11T15:00:49Z,1,1,1,7.214112612477971,7.214112612477971,0,0,0,1
28,8.081776616671934,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UCWkYXtnAuu7VTLPwUcRSB6A,UOSIRa41a_Q,https://www.youtube.com/watch?v=UOSIRa41a_Q,Kylie Behind the Scenes - Halloween Collection,2018-10-08T19:30:08Z,3,3,1,6.2,5.6000000000000005,3,0,0,0
29,8.080015600213908,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,4NlrfOl0l8U,https://www.youtube.com/watch?v=4NlrfOl0l8U,The AI that solved IMO Geometry Problems | Guest video by @Aleph0,2025-08-17T13:02:50Z,3,1,0,6.5982389835419735,5.099412994513991,3,0,1,0
30,8.025001321185208,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,0-0gFuDwmXI,https://www.youtube.com/watch?v=0-0gFuDwmXI,How to Create Cinematic AI Videos (No-BS Guide),2025-10-07T12:28:54Z,2,2,0,6.365833947984341,6.249298271156734,2,0,1,0
31,8.020611860221543,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,eAWkezTcIlM,https://www.youtube.com/watch?v=eAWkezTcIlM,CLAUDE GOT BANNED - NOW THEY WILL KILL IT (LIVESTREAM),2026-02-28T21:23:33Z,2,2,0,6.361444487020676,6.111637302186967,1,0,1,0
32,8.01566274746046,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Tech,UCbfYPyITQ-7l4upoX8nvctg,eGpIXJ0C4ds,https://www.youtube.com/watch?v=eGpIXJ0C4ds,Anthropic Found Out Why AIs Go Insane,2026-02-12T13:17:59Z,4,0,0,6.500000000000001,4.991326876386947,4,0,1,1
33,7.927765423403416,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,iRTK-jsfleg,https://www.youtube.com/watch?v=iRTK-jsfleg,95% of People STILL Prompt ChatGPT-5 Wrong,2025-09-23T13:15:09Z,4,1,0,6.312102675942957,5.045034831769955,4,0,1,0
34,7.881776616671935,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,fFL7la73RO4,https://www.youtube.com/watch?v=fFL7la73RO4,New DeepSeek Research - The Future Is Here!,2026-02-04T13:29:19Z,3,0,0,6.500000000000001,5.233333333333334,3,0,1,1
35,7.820542301316933,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,dzXlXjfFGb0,https://www.youtube.com/watch?v=dzXlXjfFGb0,Building unhinged AI projects?,2025-11-06T16:01:04Z,3,1,0,6.088765684644999,5.746307524719761,2,0,1,1
36,7.8069514327692655,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,jm2jBW462bU,https://www.youtube.com/watch?v=jm2jBW462bU,Essential AI Skills For 2026,2025-12-28T18:01:10Z,3,0,0,6.425174816097331,5.023340562863293,3,0,1,1
37,7.752357187680909,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,9OnN4O4uapI,https://www.youtube.com/watch?v=9OnN4O4uapI,"Stop Shipping AI Slop. Design with Weavy AI, Claude etc.",2026-02-13T20:00:06Z,3,2,0,5.9205805710089745,5.368400294320492,1,0,1,0
38,7.709928970093432,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,aH9ctWaxGgQ,https://www.youtube.com/watch?v=aH9ctWaxGgQ,The 5 AI Tools You Need After ChatGPT (that do real work),2026-02-03T13:00:03Z,3,2,0,5.8781523534214974,5.596870305904852,1,0,1,0
39,7.620162948624985,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,HeuHwp86bUM,https://www.youtube.com/watch?v=HeuHwp86bUM,Dr Mike Israetel on AI Consciousness,2025-06-26T04:27:09Z,2,1,0,6.31099557542412,5.556782690001899,1,0,1,0
40,7.595338969250276,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Lifestyle,UCE4Gn00XZbpWvGUfIslT-tA,Re79GF_fxik,https://www.youtube.com/watch?v=Re79GF_fxik,The World’s Most Wanted Woman,2025-05-27T11:06:04Z,4,4,0,5.229676221789816,4.62460352148554,4,0,0,0
41,7.592270004710709,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,4KFPaovFXbc,https://www.youtube.com/watch?v=4KFPaovFXbc,Both Google Deepmind and John Carmack Are Building Videogame Simulations for Training AGI,2025-07-03T07:07:34Z,2,1,0,6.283102631509844,5.45184160125941,0,0,1,0
42,7.522986712841755,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Tech,UCbfYPyITQ-7l4upoX8nvctg,4RtUJkjrKMI,https://www.youtube.com/watch?v=4RtUJkjrKMI,Surprise Video - What A Time To Be Alive!,2026-01-31T13:45:42Z,2,1,0,6.263819339640889,5.331909669820445,2,0,0,1
43,7.510919986561866,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCfQNB91qRP_5ILeu_S_bSkg,_kZCoW-Qxnc,https://www.youtube.com/watch?v=_kZCoW-Qxnc,100 hours of OpenClaw lessons in 35 minutes,2026-02-15T17:24:39Z,2,1,0,6.201752613361001,5.228172915668397,2,0,1,0
44,7.508139761938005,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,Wn5fmdJ7Oxw,https://www.youtube.com/watch?v=Wn5fmdJ7Oxw,are we ready for this?,2026-01-20T19:03:46Z,2,1,0,6.19897238873714,5.24948619436857,2,0,1,0
45,7.484541477818617,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCtaVEzJD90lyxwumMzwOQzQ,KDmMOXBQp1w,https://www.youtube.com/watch?v=KDmMOXBQp1w,2025 was... interesting,2025-11-30T17:00:38Z,1,1,0,6.71865316948265,6.71865316948265,1,0,0,0
46,7.465888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,t3jZ2xGOvYg,https://www.youtube.com/watch?v=t3jZ2xGOvYg,The ladybug clock puzzle,2026-01-16T14:16:12Z,1,1,1,6.7,6.7,1,0,0,0
47,7.465888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UCzTKskwIc_-a0cGvCXA848Q,u1u7nogFwFg,https://www.youtube.com/watch?v=u1u7nogFwFg,Contour based on SCIENCE?! 🧪,2023-10-22T15:29:27Z,1,1,1,6.7,6.7,1,0,0,0
48,7.441118508097851,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2ojq-nuP8ceeHqiroeKhBA,UGIZnh6HNLc,https://www.youtube.com/watch?v=UGIZnh6HNLc,The EASIEST Way to Host Your Claude Code Agents,2026-02-20T13:22:06Z,2,2,0,5.781951134896985,5.221300756597991,0,0,1,0
49,7.431776616671934,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCYO_jab_esuFRV4b17AJtAw,Dlsa9EBKDGI,https://www.youtube.com/watch?v=Dlsa9EBKDGI,Where my explanation of Grover’s algorithm failed,2025-05-04T11:45:24Z,3,2,0,5.6,5.166666666666667,3,0,1,0
50,7.323969419506887,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,zFcxA9T_BWs,https://www.youtube.com/watch?v=zFcxA9T_BWs,STOP Wasting Money on More AI Tools. Do THIS instead,2025-11-07T13:02:07Z,2,1,0,6.014802046306022,5.588860519805387,1,0,1,0
51,7.315631224728554,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UCtaVEzJD90lyxwumMzwOQzQ,_kIcLGdyOk4,https://www.youtube.com/watch?v=_kIcLGdyOk4,Youthforia CLOSES DOWN,2025-08-04T15:35:09Z,1,1,1,6.549742916392587,6.549742916392587,1,0,0,0
52,7.251172929593111,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwAnu01qlnVg1Ai2AbtTMaA,6hRO1q8vv60,https://www.youtube.com/watch?v=6hRO1q8vv60,4 ChatGPT Hacks that Cut My Workload in Half,2025-11-04T13:30:08Z,2,1,0,5.942005556392246,5.098463111353718,1,0,1,0
53,7.22974794420984,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,Qvz2t-hUlRI,https://www.youtube.com/watch?v=Qvz2t-hUlRI,$1 Trillion Gone,2026-02-25T01:07:12Z,2,1,0,5.9205805710089745,5.110290285504488,1,0,1,0
54,7.221182490580389,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,x8fnP6UDm70,https://www.youtube.com/watch?v=x8fnP6UDm70,3 AI Tools For Learning 💡,2025-10-29T15:55:20Z,2,0,0,6.012015117379524,5.480244316151387,1,0,1,1
55,7.166746229460164,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,18,1,Lifestyle,UC-kc7_m0l9Wkm_c3saiWpiQ,Qg5-cRTyEfE,https://www.youtube.com/watch?v=Qg5-cRTyEfE,When Pranks Go Too Far and Turn Deadly,2025-12-28T14:03:00Z,3,2,0,5.384969612788229,5.034089145266452,3,0,0,1
56,7.113182084204955,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,rITtk9H4d_w,https://www.youtube.com/watch?v=rITtk9H4d_w,AX is the new UX,2025-11-08T19:00:55Z,1,1,1,6.347293775868988,6.347293775868988,0,0,0,0
57,7.0576408881241175,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,KgJqWWVOVOo,https://www.youtube.com/watch?v=KgJqWWVOVOo,Will AI do this in 2026?,2025-12-23T15:00:41Z,2,0,0,5.848473514923252,5.391888482694637,0,0,1,1
58,7.049993190538848,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCwSozl89jl2zUDzQ4jGJD3g,I2h9ozrNvyY,https://www.youtube.com/watch?v=I2h9ozrNvyY,12 Amazing Things ChatGPT Can Do That Most People Don't Know,2025-12-26T17:25:53Z,2,1,0,5.740825817337983,5.200606552368388,0,0,1,0
59,7.049993190538848,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCrB7UFnkosBjAhOg3a9NdWw,4Djs42JS2UY,https://www.youtube.com/watch?v=4Djs42JS2UY,"Stop JUST relying on Google search for traffic, do this instead",2024-07-12T13:00:05Z,2,1,0,5.740825817337983,5.211978345644615,0,0,1,0
60,7.029070392540923,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2UXDak6o7rBm23k3Vv5dww,b8zc8aTO7BY,https://www.youtube.com/watch?v=b8zc8aTO7BY,AI Wrapped 2025,2025-12-26T15:01:12Z,3,0,0,5.647293775868989,4.989531510822327,0,0,1,1
61,7.021126238372938,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2ojq-nuP8ceeHqiroeKhBA,wb4uDdsFh6o,https://www.youtube.com/watch?v=wb4uDdsFh6o,Is n8n Dead?,2026-02-01T09:16:58Z,1,1,0,5.955237930036971,5.955237930036971,0,0,1,0
62,6.986317475929324,Exploratory candidate for validation - not paper-safe by default,queue_for_human_validation_then_optional_future_freeze_inclusion,17,0,Beauty,UCdq0b9cF2K7faJqYhG4pqgA,ylf_7MTmIYQ,https://www.youtube.com/watch?v=ylf_7MTmIYQ,#makeup #stitch,2026-01-17T21:17:52Z,1,1,1,6.220429167593357,6.220429167593357,1,0,0,0
63,6.980000920813937,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Tech,UCqcbQf6yw5KzRoDDcZ_wBSw,PbIkYHbzFBY,https://www.youtube.com/watch?v=PbIkYHbzFBY,"Dave Shapiro ""40% unemployment rate"" and how Post Labor Economics help #ai #podcast",2025-06-18T21:10:57Z,1,1,0,5.91411261247797,5.91411261247797,0,0,1,0
64,6.965888308335967,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Beauty,UCIsotCCdTjStPCLyD9iBCCQ,nRArInFnZzo,https://www.youtube.com/watch?v=nRArInFnZzo,Problems Of Every Indian Mom | Indian Family Comedy | Shruti Arjun Anand,2024-03-30T08:30:24Z,1,1,1,6.2,6.2,1,0,0,0
65,6.9071442875833755,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,22,1,Tech,UCGM7A0ps5KuZ7hZidTv26Pg,7eQ2XVBhFxo,https://www.youtube.com/watch?v=7eQ2XVBhFxo,AI Note Taker With NO Bot (Records Invisibly with Radiant AI App),2026-01-26T16:04:08Z,2,0,0,5.69797691438251,5.222635345125749,0,0,1,1
66,6.893357523243943,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UC2ojq-nuP8ceeHqiroeKhBA,c2C_SbZk6iI,https://www.youtube.com/watch?v=c2C_SbZk6iI,How to Sign Your First AI Automation Client in 7 days (With Proof),2026-02-04T07:33:15Z,1,1,0,5.8274692149079765,5.8274692149079765,0,0,1,0
67,6.867686872029285,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,20,1,Beauty,UC2GUcyD6KYjmU_ofQtPTSSA,O53AjrGri50,https://www.youtube.com/watch?v=O53AjrGri50,LAZY SKINCARE is still skincare!! #skincare #makeupprep #kbeauty #oliveyoung #oliveyoungglobal,2026-02-05T20:30:00Z,2,2,0,5.258519498828419,5.052906637348704,1,0,0,1
68,6.863865222718475,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCNU_lfiiWBdtULKOw6X0Dig,I3CWFDgqvq8,https://www.youtube.com/watch?v=I3CWFDgqvq8,End To End Multimodal LLMOPS Project Azure Deployment With Observability And Orchestration Engine,2026-02-09T07:27:37Z,1,1,0,5.797976914382509,5.797976914382509,0,0,1,0
69,6.863865222718475,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,oDl-A2Uez58,https://www.youtube.com/watch?v=oDl-A2Uez58,Inside $180B Co-Founder's AI Agent System,2026-01-26T19:11:00Z,1,1,0,5.797976914382509,5.797976914382509,0,0,1,0
70,6.813182084204954,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCiq1FIgtEK7LRAOB1JXTPig,rxR83MF6LF0,https://www.youtube.com/watch?v=rxR83MF6LF0,Watch This If You Want to Actually Succeed in 2026 — It Changes Everything,2026-01-26T13:01:39Z,1,1,0,5.747293775868988,5.747293775868988,0,0,1,0
71,6.786373497208639,Exploratory candidate for validation - not paper-safe by default,queue_for_additional_coding_or_adjudication_before_next_freeze,11,1,Tech,UCPjNBjflYl0-HQtUvOx0Ibw,YRhGtHfs1Lw,https://www.youtube.com/watch?v=YRhGtHfs1Lw,How I Use Clawdbot to Run My Business and Life 24/7,2026-01-29T20:10:01Z,2,2,0,5.127206124007773,5.037174248230572,1,0,1,0
