Filename,Status,Violated_Rule,Extracted_Claim,Confidence_Score
user_corecoin_10.txt,FAIL,Equating to regulated financial products without disclaimers,The self-custody model places responsibility on the user,0.9919
user_corecoin_10.txt,FAIL,On-chain governance votes publicly recorded,No third-party key recovery is available,0.9477
user_corecoin_10.txt,FAIL,Smart contract execution requires gas fees (NOT gas-free or zero-fee),CoreCoin supports smart contracts and decentralized application integration,0.9262
user_corecoin_10.txt,FAIL,"Pump, moon, or other speculative terminology",CoreCoin is compatible with PoS-compatible virtual machines,0.9810
user_corecoin_10.txt,FAIL,Protocol changes without on-chain governance process,CoreCoin enables the development and execution of programmable smart contracts on its blockchain,0.9943
user_corecoin_10.txt,FAIL,"Pump, moon, or other speculative terminology","CoreCoin employs a community-driven, on-chain governance model",0.9933
user_corecoin_10.txt,FAIL,Decentralized digital asset (operates independently of government/bank control),Protocol updates require community or validator approval,0.9802
user_corecoin_10.txt,FAIL,Protection from government monetary policy,Governance participation depends on wallet integration,0.9931
user_corecoin_10.txt,FAIL,Decentralized digital asset (operates independently of government/bank control),Governance participation depends on token ownership,0.9777
user_corecoin_10.txt,FAIL,Digital-only asset requiring compatible wallet software,On-chain governance votes are publicly recorded,0.9858
user_corecoin_10.txt,FAIL,"Pump, moon, or other speculative terminology",CoreCoin is not natively cross-chain compatible unless explicitly specified,0.9740
user_corecoin_10.txt,FAIL,Enables peer-to-peer value transfer,Interoperability with other blockchains is not a built-in feature of CoreCoin's architecture,0.9613
user_corecoin_10.txt,FAIL,Provides peer-to-peer value transfer without intermediaries,Staking CoreCoin requires locking tokens for defined protocol periods,0.9609
user_corecoin_10.txt,FAIL,Self-custody model with no third-party key recovery,Defined protocol periods are variable by governance,0.9896
user_corecoin_10.txt,FAIL,"Don't miss out, moonshot, limited-time opportunity",The minimum stake is a protocol-defined threshold,0.9706
user_corecoin_10.txt,FAIL,Provides peer-to-peer value transfer without intermediaries,The lockup period is governance-defined,0.9908
user_corecoin_10.txt,FAIL,Self-custody model with no third-party key recovery,Rewards depend on network participation,0.9774
user_corecoin_10.txt,FAIL,Protection from government monetary policy,Rewards depend on validator performance,0.9815
user_corecoin_10.txt,FAIL,Governance proposals auto-approve or auto-pass without voting,Cryptocurrency investments involve risk and are highly volatile,0.9835
user_corecoin_10.txt,FAIL,Claims of hack-proof or 100% secure status,Do not invest funds you cannot afford to lose,0.9532
user_corecoin_10.txt,FAIL,"Guaranteed profit, yields, interest, or returns",CoreCoin is not backed by the FDIC or any government entity,0.9707
user_corecoin_10.txt,FAIL,"2,000,000,000 CORE",Past performance is not indicative of future results,0.9471
user_corecoin_10.txt,FAIL,Users retain control of their private keys and funds,Loss of private keys leads to permanent loss of funds,0.9960
user_corecoin_10.txt,FAIL,Claims of hack-proof or 100% secure status,Digital assets may be vulnerable to hacking or protocol exploits,0.9964
user_corecoin_10.txt,FAIL,Documentation version-controlled and publicly maintained,Market conditions can change rapidly and unpredictably,0.9971
user_corecoin_10.txt,FAIL,Self-custody model with no third-party key recovery,Regulatory changes may affect accessibility or legality,0.9868
user_corecoin_10.txt,FAIL,Staking rewards are NOT region-based and NOT fixed-rate tiers,Some staking tiers may offer fixed-rate returns depending on region,0.9981
