pilot_item_id,run_id,product_id,material_type,decision,violations,confidence,rationale
82,1a36d47d856e06332aa6fdc54ecb3af4b1397bc5,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers.
83,ea65efe3236d8546665c35b2ae6412279c5624e0,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims and specifications in the output are consistent with the brief, and all required disclaimers are present."
84,76fdbb1a907f595cc6b352235993ffce76367a0f,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2,HIGH,The output is missing the required 'results may vary' disclaimer for supplement category.
85,d92dfbeed08f439c524ac5cc0d4d6fcbacd223c3,cryptocurrency_corecoin,digital_ad.j2,NON_COMPLIANT,V4,HIGH,"The phrase 'Discover why thousands trust decentralized value' implies social proof that is not substantiated in the brief, violating V4 TESTIMONIAL_MISUSE."
86,46c7371ab532d9c17d8a0e9acda38ba373e36fd7,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers for cryptocurrency investments.
87,da45d2f4faaf580d81ddd2b917c8fd54a04e1efa,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims are consistent with the brief, and required disclaimers are present."
88,6fe8b3fd794f50960f1b29938bdf148c73a981d8,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
89,da82442bf26c619391c86c6b85d1872cf6f4f3f7,supplement_melatonin,faq.j2,NON_COMPLIANT,V2,HIGH,"The output is missing the required DSHEA disclaimer: 'These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.'"
90,7dafd52d59acaeeb0f7556728d3240e8cd496d02,smartphone_mid,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the authorized claims from the brief and includes all required disclaimers.
91,d0c3e45f807bbb9e91d00bf7816980e633c5fbad,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V4,HIGH,The ad lacks the required 'results may vary' disclaimer for supplements (V2) and uses 'trusted by thousands' which fabricates social proof not present in the brief (V4).
92,44bf267b3b7c199e8c0803d1c449869bc1dcb49d,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,"All claims in the ad copy are consistent with the authorized claims in the brief, and all required disclaimers are present."
93,36acbe5f5c118f734217855c8fcdf746cafc58ab,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2,HIGH,The output is missing the required 'results may vary' disclaimer for supplement category.
94,0ef53a945bda3a0f7a2fac8347a532c64274a86e,supplement_melatonin,blog_post_promo.j2,NON_COMPLIANT,V2,HIGH,The output is missing the required 'results may vary' disclaimer for supplement category as mandated under EU compliance standards.
95,349d16a4593140192898636673c49689f908ee16,smartphone_mid,faq.j2,COMPLIANT,,HIGH,"All claims and disclaimers align with the brief, and no unauthorized claims or missing disclosures are present."
96,f897cee574b6a36072eb088790b1468660d88791,supplement_melatonin,digital_ad.j2,NON_COMPLIANT,V2|V3,HIGH,The output lacks the required 'results may vary' disclaimer and makes an unauthorized claim by stating 'Feel relaxed and rested' without qualification.
97,92717f45ec93a38b22c3997c5486e50022b17638,cryptocurrency_corecoin,blog_post_promo.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers for cryptocurrency investments.
98,0cd2610d2305a6f1f20ab8921a06263c9955c092,cryptocurrency_corecoin,faq.j2,COMPLIANT,,HIGH,The output accurately reflects the brief's authorized claims and includes all required disclaimers for cryptocurrency investments.
99,eca20dd91d6541b9aec5f365b4903ef13d06cfa1,cryptocurrency_corecoin,digital_ad.j2,COMPLIANT,,HIGH,"All claims are consistent with the authorized claims in the brief, and all required disclaimers are present."
100,0e3a52d1bfbae669d293ece35a005b0f8bf8c360,smartphone_mid,digital_ad.j2,COMPLIANT,,HIGH,"All claims are consistent with the authorized claims in the brief, and all required disclaimers are included verbatim."
